_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7632997,20088,BP-25692,686,Queen St W,Euclid Ave,West,Ln N Queen E Euclid Ave,South,,10.0,West Queen West,Shelter,Existing,0,312233.982,4834078.472,-79.407850036,43.64661151,"{u'type': u'Point', u'coordinates': (-79.4078500335, 43.6466115141)}"
7632998,20089,BP-25696,212A,Ossington Ave,Ossington Ave,West,Rolyat St,North,,10.0,Ossington Avenue,Ring,Existing,0,311195.11100000003,4834337.909,-79.420724557,43.648956452,"{u'type': u'Point', u'coordinates': (-79.4207245601, 43.6489564544)}"
7632999,20090,BP-25715,1082,Dundas St W,Dundas St W,North,Shaw St,West,,11.0,,Ring,Existing,0,311370.168,4834435.241,-79.418553324,43.649831043999995,"{u'type': u'Point', u'coordinates': (-79.4185533268, 43.6498310487)}"
7633000,20091,BP-25719,235,Ossington Ave,Dundas St W,South,Ln E Ossington S Dundas,West,,10.0,Little Portugal,Ring,Existing,0,311231.876,4834382.061000001,-79.42026828899999,43.64935356,"{u'type': u'Point', u'coordinates': (-79.4202682864, 43.6493535652)}"
7633001,20092,BP-25726,248,Ossington Ave,Ossington Ave,West,Ln N Dundas E Ossington,South,,9.0,Little Portugal,Ring,Existing,0,311176.41,4834405.472,-79.420955588,43.649564771,"{u'type': u'Point', u'coordinates': (-79.4209555848, 43.6495647734)}"
7633002,20093,BP-25752,52,Exmoor Dr,Lake Shore Blvd W,North,Ww W Fortieth S Lake Shore,West,,3.0,,Ring,Existing,0,301248.456,4827982.485,-79.543984149,43.591767711,"{u'type': u'Point', u'coordinates': (-79.5439841433, 43.5917677122)}"
7633003,20094,BP-23487,3178A,Yonge St,Yonge St,West,Ranleigh Ave,South,,8.0,Yonge Lawrence Village,Ring,Existing,0,312615.016,4843083.909,-79.402996289,43.727668162,"{u'type': u'Point', u'coordinates': (-79.4029962877, 43.7276681619)}"
7633004,20095,BP-23279,2,Bedford Park Ave,Bedford Park Ave,North,Yonge St,West,,8.0,Yonge Lawrence Village,Ring,Existing,0,312612.731,4843059.425,-79.403025008,43.727447802,"{u'type': u'Point', u'coordinates': (-79.4030250057, 43.7274477999)}"
7633005,20096,BP-23488,3178A,Yonge St,Yonge St,West,Bedford Park Ave,North,,8.0,Yonge Lawrence Village,Ring,Existing,0,312616.085,4843078.163,-79.402983104,43.727616423,"{u'type': u'Point', u'coordinates': (-79.4029831022, 43.7276164295)}"
7633006,20099,BP-23821,162,Bloor St W,Avenue Rd,East,Queen's Park,North,,11.0,Bloor Street,Ring,Existing,0,313336.815,4836567.42,-79.394140229,43.669003527,"{u'type': u'Point', u'coordinates': (-79.3941402336, 43.6690035297)}"
7633007,20100,BP-23299,875,Morningside Ave,Morningside Ave,East,Military Trl,North,,25.0,,Ring,Existing,0,329422.04600000003,4850034.027,-79.194062752,43.789859181000004,"{u'type': u'Point', u'coordinates': (-79.1940627458, 43.7898591859)}"
7633008,20101,BP-23913,120,Bayview Ave,Bayview Ave,East,Mill St,North,,13.0,,Ring,Existing,0,316643.04,4834813.326,-79.353180375,43.653169056,"{u'type': u'Point', u'coordinates': (-79.3531803759, 43.6531690585)}"
7633009,20102,BP-23915,120,Bayview Ave,Bayview Ave,East,Mill St,North,,13.0,,Ring,Existing,0,316640.774,4834816.52,-79.353208398,43.653197844,"{u'type': u'Point', u'coordinates': (-79.3532083976, 43.6531978448)}"
7633010,20103,BP-23304,5697,Yonge St,Bishop Ave,North,Yonge St,East,,18.0,,Ring,Existing,0,311611.44399999996,4849109.395,-79.415376692,43.781914573,"{u'type': u'Point', u'coordinates': (-79.415376695, 43.7819145773)}"
7633011,20105,BP-31284,2631A,Yonge St,Yonge St,East,Craighurst Ave,South,,15.0,Uptown Yonge,Ring,Existing,0,312852.219,4841704.116,-79.400072665,43.71524578100001,"{u'type': u'Point', u'coordinates': (-79.4000726597, 43.7152457839)}"
7633012,20106,BP-31296,609-615,Manning Ave,Manning Ave,East,Harbord St,North,,11.0,,Ring,Existing,0,311669.175,4835690.245,-79.414830743,43.661125068000004,"{u'type': u'Point', u'coordinates': (-79.4148307449, 43.6611250696)}"
7633013,20107,BP-31311,672,Dupont St,Dupont St,North,Willowvale Lane,West,,11.0,,Ring,Existing,0,311077.253,4836851.741,-79.42215633,43.671585308000004,"{u'type': u'Point', u'coordinates': (-79.4221563277, 43.6715853081)}"
7633014,20108,BP-31321,2384,Yonge St,Yonge St,West,Helendale Ave,North,,8.0,Uptown Yonge,Ring,Temporarily Removed,0,312940.843,4841031.384,-79.398983022,43.70918939,"{u'type': u'Point', u'coordinates': (-79.3989830167, 43.7091893885)}"
7633015,20109,BP-31347,20,Orde St,Orde St,North,Mc Caul St,East,,11.0,,Ring,Existing,0,313457.307,4835363.097,-79.392665408,43.658161629,"{u'type': u'Point', u'coordinates': (-79.392665405, 43.658161634)}"
7633016,20110,BP-31379,250,Dundas St W,Dundas St W,North,Simcoe St,West,,11.0,,Ring,Existing,0,313695.58,4834971.549,-79.38971772100001,43.65463436100001,"{u'type': u'Point', u'coordinates': (-79.3897177162, 43.6546343673)}"
7633017,20111,BP-31444,5025,Yonge St,Elmwood Ave,North,Yonge St,East,,18.0,,Ring,Existing,0,311890.67600000004,4847417.9569999995,-79.411929952,43.76668706,"{u'type': u'Point', u'coordinates': (-79.4119299519, 43.766687061)}"
7633018,20112,BP-31445,16,Hollywood Ave,Yonge St,East,Hollywood Ave,North,,18.0,,Ring,Existing,0,311892.47,4847349.619,-79.41190856600001,43.766071923999995,"{u'type': u'Point', u'coordinates': (-79.4119085722, 43.766071922)}"
7633019,20113,BP-35181,170,University Ave,Adelaide St W,South,University Ave,West,,10.0,Financial District,Ring,Existing,0,314006.544,4834316.198,-79.385873743,43.648731542,"{u'type': u'Point', u'coordinates': (-79.3858737417, 43.6487315451)}"
