id,street_address,latitude,longitude
BP-45126,832 Bay St,43.662222233,-79.386391854
BP-29906,146 Baldwin St,43.65500636,-79.399681695
BP-34257,180 Cumberland St,43.669473418,-79.39428017600001
BP-34715,506 Bathurst St,43.657037992,-79.408038664
BP-27688,310-316 Spadina Ave,43.653412149,-79.398411155
BP-27391,132A Baldwin St,43.655443891000004,-79.398836465
BP-22010,153 Mc Caul St,43.655591863000005,-79.39188679
BP-22033,19 Orde St,43.658266696000005,-79.39142727699999
BP-22093,33 Baldwin St,43.655968306999995,-79.393446207
BP-22100,16 Baldwin St,43.656204293,-79.392801127
BP-22112,522 University Ave,43.655729061,-79.38956005899999
BP-22144,222 St Patrick St,43.655944296,-79.390866572
BP-22297,45 Grosvenor St,43.662347548,-79.386642415
BP-29876,560A Dundas St W,43.652653775,-79.39978040300001
BP-27114,75 Prince Arthur Ave,43.668721033000004,-79.400072365
BP-25712,852A Dundas St W,43.651483854,-79.410343588999993
BP-27725,601 College St,43.655089073,-79.414153836
BP-20056,44 Charles St W,43.668720186,-79.38895092
BP-35515,214 Beverley St,43.657309558,-79.395375196
BP-24986,206A Bloor St W,43.66845436,-79.395680554
BP-29612,12 Shaftesbury Ave,43.68215021899999,-79.391200188
BP-22308,84 Gerrard St W,43.658592838000004,-79.385687519
BP-20048,1132 Bay St,43.668484443000004,-79.38908566
BP-20054,44 Charles St W,43.668626393000004,-79.388909095
BP-27717,614 College St,43.655095468,-79.41475814399999
BP-18249,773 Yonge St,43.671319628999996,-79.386776564
BP-18250,773 Yonge St,43.671324745,-79.386755553
BP-44911,431 College St,43.656300339,-79.407531013
BP-29811,153 Bloor St W,43.668476987,-79.393900206
BP-25651,1004 Dundas St W,43.650399902,-79.415726433
BP-34809,111 Harbord St,43.662512476,-79.404438888
BP-31367,250 Dundas St W,43.654649501,-79.389655348
BP-27574,368 Spadina Ave,43.654917178999995,-79.39901535199999
BP-25399,764 Dundas St W,43.652174032,-79.406948106
BP-24479,715 Bloor St W,43.663583051,-79.417983233
BP-20061,44 Charles St W,43.668879635,-79.38901891
BP-20063,44 Charles St W,43.668941265,-79.389040329
BP-20071,55 Bloor St W,43.669201636000004,-79.389135207
BP-20073,55 Bloor St W,43.66932476,-79.389190774
BP-30232,811 Bloor St W,43.662763656,-79.421742961
BP-27206,71 Prince Arthur Ave,43.66878668,-79.399754016
BP-32572,120 Bloor St E,43.67133176,-79.384348355
BP-27670,464 Spadina Ave,43.657695481000005,-79.400121258
BP-29117,357 College St,43.657167007,-79.403668603
BP-44952,255 Mc Caul St,43.658126355,-79.39283897199999
BP-44954,255 Mc Caul St,43.658180062,-79.392593279
BP-44956,18 Orde St,43.658272158,-79.392156034
BP-44955,18 Orde St,43.658261607,-79.392206613
BP-44957,18 Orde St,43.658278198999994,-79.392124947
BP-44958,18 Orde St,43.658341723999996,-79.391818568
BP-44959,18 Orde St,43.658336401999996,-79.39184548
BP-44962,235 Mc Caul St,43.657772656000006,-79.39281694600001
BP-44961,235 Mc Caul St,43.657801706,-79.39282912
BP-22574,61 College St,43.660657617,-79.386318135
BP-29848,292 Spadina Ave,43.652885983000004,-79.39850050300001
BP-34192,320 Robert St,43.666097793999995,-79.40526371899999
BP-27293,115 Cumberland St,43.670198133999996,-79.39135669699999
BP-23523,500 University Ave,43.6555979,-79.388924632
BP-35163,862 Yonge St,43.672401243,-79.387757683
BP-42635,468 Huron St,43.666737364,-79.40142987600001
BP-32590,808 Church St,43.67180144100001,-79.384994905
BP-34723,159 Harbord St,43.661989468,-79.406977847
BP-22118,18 Baldwin St,43.656155033999994,-79.393018148
BP-44753,194 Brunswick Ave,43.662926913,-79.406339977
BP-44757,558 Dundas St W,43.652669026000005,-79.39953266100001
BP-44756,558 Dundas St W,43.652660373,-79.399575978
BP-44755,558 Dundas St W,43.652652746,-79.399614648
BP-44751,1098 Yonge St,43.678388251,-79.39020859600001
BP-26463,1000 Yonge St,43.675600878999994,-79.3891635
BP-36288,175 Bloor St E,43.67030154,-79.382744815
BP-29919,292 Spadina Ave,43.652875892,-79.39853659999999
BP-25052,322 Bloor St W,43.666895462,-79.40311112100001
BP-23522,620 University Ave,43.658446672,-79.390117376
BP-25128,270 Bloor St W,43.667408915,-79.400727563
BP-32621,55 Scollard St,43.672213056000004,-79.389854447
BP-32302,839 Yonge St,43.67358402399999,-79.388037016
BP-23810,887 Yonge St,43.67416364,-79.388257294
BP-34792,117 Harbord St,43.662500924,-79.40450764399999
BP-25810,465 Bloor St W,43.666024318000005,-79.406620785
BP-27603,224 College St,43.658473109,-79.397542911
BP-22629,175 Elizabeth St,43.65748004899999,-79.385963285
BP-26721,161 Spadina Rd,43.672638332,-79.406088669
BP-22395,777 Bay St,43.660795991,-79.385451188
BP-22407,27 College St,43.661068785,-79.384176394
BP-22410,777 Bay St,43.660834101000006,-79.385266532
BP-22569,711 Bay St,43.658664781000006,-79.384436311
BP-22571,72 Elm St,43.657239633,-79.384952016
BP-22483,150 Gerrard St W,43.657965653999995,-79.387997509
BP-22501,190 Elizabeth St,43.658360336,-79.386540923
BP-22508,190 Elizabeth St,43.658334124,-79.386526214
BP-18175,388 Bloor St W,43.672331111999995,-79.377358792
BP-18176,175 Bloor St E,43.670634811000006,-79.38288242
BP-18178,175 Bloor St E,43.670590122,-79.38286291
BP-18179,175 Bloor St E,43.670549001000005,-79.382846216
BP-18182,661 University Ave,43.659255718999994,-79.389962682
BP-18183,100 College St,43.660430479,-79.388220896000007
BP-18185,100 College St,43.660398984,-79.3883449
BP-18186,112 College St,43.660324679,-79.388691244
BP-18290,826 Yonge St,43.67104083,-79.387356293
BP-18291,826 Yonge St,43.671034973999994,-79.38737785800001
BP-34338,20 Sussex Ave,43.664965589,-79.400516823
BP-26805,41 Avenue Rd,43.670556977,-79.39477291600001
BP-43975,72 Bellevue Ave,43.655048748999995,-79.403741392
BP-32431,487 Spadina Cres,43.659969805,-79.399905324
BP-22537,150 Gerrard St W,43.658038428999994,-79.387665148
BP-22538,90 Gerrard St W,43.658542434,-79.386453638
BP-22541,123 Edward St,43.655693244,-79.387095954
BP-22551,200 Elizabeth St,43.659142443,-79.386891163
BP-22577,87 Walton St,43.657927734,-79.38524767
BP-22598,61 College St,43.660548295,-79.386531038
BP-22600,555 University Ave,43.656824088,-79.386981895
BP-22620,72 Elm St,43.657288795,-79.384724455
BP-22625,78 Elm St,43.657155486,-79.38533179699999
BP-23813,1088 Yonge St,43.678090456999996,-79.39023548600001
BP-18842,222 Christie St,43.669722522,-79.42086475100001
BP-18207,18 Shaftesbury Ave,43.682188623,-79.390765423
BP-18208,18 Shaftesbury Ave,43.68219495899999,-79.390737048
BP-22619,88 Elm St,43.657256086000004,-79.385870251
BP-31723,60 Grosvenor St,43.662277767,-79.38753878899999
BP-22593,711 Bay St,43.65863753399999,-79.384571202
BP-29812,80 Grosvenor St,43.661916688000005,-79.38930103
BP-30947,789 Yonge St,43.672197706000006,-79.387227547
BP-44997,1034 Dundas St W,43.650183854,-79.416823534
BP-25526,210 Bellwoods Ave,43.652262668,-79.413408857
BP-25923,525 Bloor St W,43.665512207,-79.409082615
BP-24994,299 Bloor St W,43.668000638,-79.397084044
BP-34748,145 Harbord St,43.662125936,-79.406362304
BP-44752,198 Brunswick Ave,43.662906936000006,-79.406330329
BP-44754,194 Brunswick Ave,43.66296492399999,-79.406359728
BP-35164,45A Davenport Rd,43.672859544,-79.389670966
BP-23580,316 Yonge St,43.656868476999996,-79.381562276
BP-26381,93 Christie St,43.66584408600001,-79.419260147
BP-22422,27 College St,43.660989813,-79.38455051
BP-34256,83 Yorkville Ave,43.671006927,-79.391639211
BP-28716,90 College St,43.660502473,-79.38788379100001
BP-28983,409 1/2 College St,43.656651135,-79.406215456
BP-29170,312 College St,43.657653681999996,-79.402277891
BP-25770,371 Bloor St W,43.666861600000004,-79.402487819
BP-27204,23 Prince Arthur Ave,43.669514654,-79.396374387
BP-30241,531 College St,43.65568044,-79.41108010100001
BP-33051,38 Madison Ave,43.668992778,-79.403572243
BP-22498,220 Elizabeth St,43.660272255,-79.38738723600001
BP-27041,264 Beatrice St,43.658238997,-79.41896552600001
BP-43808,728 Bloor St W,43.663716158999996,-79.41800768899999
BP-27634,222 College St,43.658534783,-79.397226371
BP-22043,222 Elm St,43.656169604,-79.392096475
BP-27740,634 College St,43.655124686,-79.416364577
BP-27666,466 Spadina Ave,43.657711924,-79.40012795
BP-01267,11 Orde St,43.658587881,-79.390377557
BP-25828,1073 Bathurst St,43.67252631,-79.41400333899999
BP-26431,522 Dupont St,43.672883098999996,-79.415912312
